question,answer,nhops,base_question,cypher,neo4j_response,evaluation,evaluation_error
what did people think of [Black Beauty],good,1,what did people think of [],"MATCH (m:movie {name: ""Black Beauty""})-[:has_imdb_rating]->(rating:imdbrating), (m)-[:has_imdb_votes]->(votes:imdbvotes) RETURN m.name, rating.name, votes.name",[],unmatched,
what films did [Henry Travers] star in,Ball of Fire|Madame Curie,1,what films did [] star in,"MATCH (a:actor {name: ""Henry Travers""})-[:starred_actors]-(m:movie) RETURN m.name","[{'m.name': 'Ball of Fire'}, {'m.name': 'Madame Curie'}]",matched,
"[Lonesome Jim], is it any good",good,1,"[], is it any good","MATCH (m:movie {name: ""Lonesome Jim""})-[:has_imdb_rating]->(r:imdbrating) RETURN r.name as IMDB_Rating",[{'IMDB_Rating': 'good'}],matched,
what films can be described by the [story],Predator,1,what films can be described by the [],MATCH (m:movie)-[:has_tags]->(t:tag) WHERE t.name = 'story' RETURN m.name,"[{'m.name': 'The Count of Monte Cristo'}, {'m.name': 'Big Fish'}, {'m.name': 'Ratatouille'}, {'m.name': 'The NeverEnding Story'}, {'m.name': 'Citizen Kane'}, {'m.name': 'Gangs of New York'}, {'m.name': 'Undertow'}, {'m.name': 'The Haunting in Connecticut'}, {'m.name': 'Toy Story 3'}, {'m.name': 'American Beauty'}, {'m.name': ""A Bug's Life""}, {'m.name': 'Infernal Affairs'}, {'m.name': 'Get Carter'}, {'m.name': 'The King and I'}, {'m.name': 'Sherlock Holmes'}, {'m.name': 'Oldboy'}, {'m.name': 'Scum'}, {'m.name': 'Inglourious Basterds'}, {'m.name': 'Kick-Ass'}, {'m.name': 'Rise of the Planet of the Apes'}, {'m.name': 'The Expendables'}, {'m.name': 'Aguirre, the Wrath of God'}, {'m.name': 'Alien'}, {'m.name': 'Finding Nemo'}, {'m.name': 'Independence Day'}, {'m.name': 'Night at the Museum'}, {'m.name': 'Dead Poets Society'}, {'m.name': 'The Godfather'}, {'m.name': 'Argo'}, {'m.name': 'Cars 2'}, {'m.name': 'Iron Man'}, {'m.name': 'Scarface'}, {'m.name': 'The Princess and the Frog'}, {'m.name': 'Chicken Little'}, {'m.name': 'Monsters, Inc.'}, {'m.name': 'Braveheart'}, {'m.name': 'Clash of the Titans'}, {'m.name': 'Philomena'}, {'m.name': 'The Dark Knight'}, {'m.name': 'Treasure Island'}, {'m.name': 'The Good, the Bad and the Ugly'}, {'m.name': 'Beauty and the Beast'}, {'m.name': 'Facing the Giants'}, {'m.name': 'Moonrise Kingdom'}, {'m.name': 'Sucker Punch'}, {'m.name': 'My Fair Lady'}, {'m.name': 'The Birds'}, {'m.name': 'Slumdog Millionaire'}, {'m.name': 'Signs'}, {'m.name': 'Close Encounters of the Third Kind'}, {'m.name': 'Super 8'}, {'m.name': 'Puss in Boots'}, {'m.name': 'American History X'}, {'m.name': 'Toy Story'}, {'m.name': 'Memento'}, {'m.name': 'The Mask of Zorro'}, {'m.name': 'The Adjustment Bureau'}, {'m.name': 'Never Let Me Go'}, {'m.name': 'Hulk'}, {'m.name': 'U.S. Marshals'}, {'m.name': 'Australia'}, {'m.name': 'L.A. Story'}, {'m.name': 'L.A. Confidential'}, {'m.name': 'The Hangover'}, {'m.name': 'Insomnia'}, {'m.name': 'The Man with the Iron Fists'}, {'m.name': 'Watchmen'}, {'m.name': 'Star Trek'}, {'m.name': 'Reservoir Dogs'}, {'m.name': 'V for Vendetta'}, {'m.name': ""It's a Wonderful Life""}, {'m.name': 'Pacific Rim'}, {'m.name': 'Back to the Future'}, {'m.name': 'The Parent Trap'}, {'m.name': 'Mars Needs Moms'}, {'m.name': 'Judgment at Nuremberg'}, {'m.name': 'Sky Captain and the World of Tomorrow'}, {'m.name': 'How to Train Your Dragon'}, {'m.name': 'Toy Story 2'}]",unmatched,
what is the rating of [I Thank a Fool],good,1,what is the rating of [],"MATCH (m:movie {name: ""I Thank a Fool""})-[:has_imdb_rating]->(r:imdbrating) RETURN r.name as rating;",[{'rating': 'good'}],matched,
which movies was [Kamal Ahmed] a writer on,The Jerky Boys,1,which movies was [] a writer on,"MATCH (w:writer {name: ""Kamal Ahmed""})-[:written_by]-(m:movie) RETURN m.name",[{'m.name': 'The Jerky Boys'}],matched,
when was the film [The Human Resources Manager] released,2010,1,when was the film [] released,"MATCH (m:movie {name: ""The Human Resources Manager""})-[:release_year]->(y:year) RETURN y.name;",[{'y.name': '2010'}],matched,
what type of movie is [The Wild],Comedy|Adventure|Animation,1,what type of movie is [],"MATCH (m:movie {name: ""The Wild""})-[:has_genre]->(g:genre) RETURN g.name;","[{'g.name': 'Comedy'}, {'g.name': 'Adventure'}, {'g.name': 'Animation'}]",matched,
what movies was [Joe Seneca] an actor in,Crossroads,1,what movies was [] an actor in,"MATCH (a:actor {name: ""Joe Seneca""})-[:starred_actors]-(m:movie) RETURN m.name",[{'m.name': 'Crossroads'}],matched,
who is the director that directed [Assault on a Queen],Jack Donohue,1,who is the director that directed [],"MATCH (m:movie {name: ""Assault on a Queen""})-[:directed_by]->(d:director) RETURN d.name",[{'d.name': 'Jack Donohue'}],matched,
who is the writer of [Clandestine Childhood],Benjamín Ávila,1,who is the writer of [],"MATCH (m:movie {name: ""Clandestine Childhood""})-[:written_by]->(w:writer) RETURN w.name",[{'w.name': 'Benjamín Ávila'}],matched,
what topics is [Mean Streets] about,bd-r|r|robert de niro|martin scorsese|national film registry|harvey keitel,1,what topics is [] about,"MATCH (m:movie {name: ""Mean Streets""})-[:has_tags]->(t:tag)
RETURN t.name","[{'t.name': 'harvey keitel'}, {'t.name': 'national film registry'}, {'t.name': 'martin scorsese'}, {'t.name': 'robert de niro'}, {'t.name': 'r'}, {'t.name': 'bd-r'}]",matched,
"[Goats], when was it released",2012,1,"[], when was it released","MATCH (m:movie {name: ""Goats""})-[:release_year]->(y:year) RETURN y.name",[{'y.name': '2012'}],matched,
which film did [João Falcão] write the story for,A Dog's Will,1,which film did [] write the story for,"MATCH (w:writer {name: ""João Falcão""})-[:written_by]-(m:movie) RETURN m.name","[{'m.name': ""A Dog's Will""}]",matched,
describe [Darkness Falls],dark|jonathan liebesman,1,describe [],"MATCH (m:movie {name: ""Darkness Falls""})-[:directed_by]->(d:director), (m)-[:written_by]->(w:writer), (m)-[:starred_actors]->(a:actor), (m)-[:release_year]->(y:year), (m)-[:in_language]->(l:language), (m)-[:has_tags]->(t:tag), (m)-[:has_genre]->(g:genre), (m)-[:has_imdb_rating]->(r:imdbrating), (m)-[:has_imdb_votes]->(v:imdbvotes) RETURN m.name as Movie, d.name as Director, w.name as Writer, a.name as Actor, y.name as Year, l.name as Language, t.name as Tag, g.name as Genre, r.name as IMDB_Rating, v.name as IMDB_Votes",[],unmatched,
what is the genre for the film [The Thirteenth Floor],Thriller,1,what is the genre for the film [],"MATCH (m:movie {name: ""The Thirteenth Floor""})-[:has_genre]->(g:genre) RETURN g.name;",[{'g.name': 'Thriller'}],matched,
who directed the movie [Garfield],Peter Hewitt,1,who directed the movie [],"MATCH (m:movie {name: ""Garfield""})-[:directed_by]->(d:director) RETURN d.name",[{'d.name': 'Peter Hewitt'}],matched,
[Lakeboat] is a film written by this person,David Mamet,1,[] is a film written by this person,"MATCH (m:movie {name: ""Lakeboat""})-[:written_by]->(w:writer) RETURN w.name",[{'w.name': 'David Mamet'}],matched,
how famous was [Kung Fu Hustle],famous,1,how famous was [],"MATCH (m:movie {name: ""Kung Fu Hustle""})-[:has_imdb_rating]->(r:imdbrating), (m)-[:has_imdb_votes]->(v:imdbvotes) RETURN m.name, r.name AS rating, v.name AS votes",[],unmatched,
what does [Alicja Bachleda] star in,Ondine,1,what does [] star in,"MATCH (a:actor {name: ""Alicja Bachleda""})<-[:starred_actors]-(m:movie) RETURN m.name",[{'m.name': 'Ondine'}],matched,
what kind of movie is [The Hills Run Red],Horror,1,what kind of movie is [],"MATCH (m:movie {name: ""The Hills Run Red""})-[:has_genre]->(g:genre) RETURN g.name",[{'g.name': 'Horror'}],matched,
who is the author of [Out of Reach],Trevor Miller,1,who is the author of [],"MATCH (m:movie {name: ""Out of Reach""})-[:written_by]->(w:writer) RETURN w.name",[{'w.name': 'Trevor Miller'}],matched,
who acted in the movie [Staggered],Martin Clunes,1,who acted in the movie [],"MATCH (m:movie {name: ""Staggered""})-[:starred_actors]->(a:actor) RETURN a.name;",[{'a.name': 'Martin Clunes'}],matched,
who is the writer of the film [Running Scared],Wayne Kramer,1,who is the writer of the film [],"MATCH (m:movie {name: ""Running Scared""})-[:written_by]->(w:writer) RETURN w.name;","[{'w.name': 'Wayne Kramer'}, {'w.name': 'Paul Glickler'}, {'w.name': 'Jimmy Huston'}, {'w.name': 'Gary DeVore'}]",matched,
what is the genre of the movie [The In-Laws],Comedy,1,what is the genre of the movie [],"MATCH (m:movie {name: ""The In-Laws""})-[:has_genre]->(g:genre) RETURN g.name","[{'g.name': 'Comedy'}, {'g.name': 'Action'}]",matched,
what is a film directed by [Don Hahn],Waking Sleeping Beauty,1,what is a film directed by [],"MATCH (m:movie)-[:directed_by]->(d:director) WHERE d.name = ""Don Hahn"" RETURN m.name",[{'m.name': 'Waking Sleeping Beauty'}],matched,
what year was the film [Dancing Lady] released,1933,1,what year was the film [] released,"MATCH (m:movie {name: ""Dancing Lady""})-[:release_year]->(y:year) RETURN y.name;",[{'y.name': '1933'}],matched,
what genre does [Don't Be a Menace to South Central While Drinking Your Juice in the Hood] fall under,Comedy,1,what genre does [] fall under,"MATCH (m:movie {name: ""Don't Be a Menace to South Central While Drinking Your Juice in the Hood""})-[:has_genre]->(g:genre)
RETURN g.name",[{'g.name': 'Comedy'}],matched,
who wrote the screenplay for [Altered],Eduardo Sánchez|Jamie Nash,1,who wrote the screenplay for [],"MATCH (m:movie {name: ""Altered""})-[:written_by]->(w:writer) RETURN w.name","[{'w.name': 'Jamie Nash'}, {'w.name': 'Eduardo Sánchez'}]",matched,
what is the genre for [The Living Desert],Documentary,1,what is the genre for [],"MATCH (m:movie {name: ""The Living Desert""})-[:has_genre]->(g:genre) RETURN g.name;",[{'g.name': 'Documentary'}],matched,
what films does [Michele Dotrice] appear in,And Soon the Darkness,1,what films does [] appear in,"MATCH (m:movie)-[:starred_actors]->(a:actor) WHERE a.name = ""Michele Dotrice"" RETURN m.name",[{'m.name': 'And Soon the Darkness'}],matched,
what terms are applicable to [A Scanner Darkly],animation|r|keanu reeves|philip k. dick|animated|woody harrelson|winona ryder|surveillance|richard linklater|drug addiction|rotoscope|tag|sin,1,what terms are applicable to [],"MATCH (m:movie {name: ""A Scanner Darkly""})-[:in_language|:directed_by|:written_by|:starred_actors|:release_year|:has_tags|:has_genre|:has_imdb_rating|:has_imdb_votes]->(n)
RETURN n.name","[{'n.name': 'sin'}, {'n.name': 'tag'}, {'n.name': 'rotoscope'}, {'n.name': 'drug addiction'}, {'n.name': 'richard linklater'}, {'n.name': 'surveillance'}, {'n.name': 'winona ryder'}, {'n.name': 'woody harrelson'}, {'n.name': 'animated'}, {'n.name': 'philip k. dick'}, {'n.name': 'keanu reeves'}, {'n.name': 'r'}, {'n.name': 'animation'}, {'n.name': 'Animation'}, {'n.name': '2006'}, {'n.name': 'Keanu Reeves'}, {'n.name': 'Richard Linklater'}, {'n.name': 'Philip K. Dick'}, {'n.name': 'Richard Linklater'}]",matched,
how popular was [Breakfast at Tiffany's],famous,1,how popular was [],"MATCH (m:movie {name: ""Breakfast at Tiffany's""})-[:has_imdb_votes]->(v:imdbvotes)
RETURN m.name, v.name as popularity","[{'m.name': ""Breakfast at Tiffany's"", 'popularity': 'famous'}]",matched,
what is popular opinion about [As You Like It],good,1,what is popular opinion about [],"MATCH (m:movie {name: ""As You Like It""})-[:has_tags]->(t:tag)
RETURN t.name as Popular_Opinion",[{'Popular_Opinion': 'shakespeare'}],unmatched,
who wrote [My Friend Ivan Lapshin],Yuri German,1,who wrote [],"MATCH (m:movie {name: ""My Friend Ivan Lapshin""})-[:written_by]->(w:writer) RETURN w.name",[{'w.name': 'Yuri German'}],matched,
which topics is movie [Babes in Toyland] about,christmas,1,which topics is movie [] about,"MATCH (m:movie {name: ""Babes in Toyland""})-[:has_tags]->(t:tag)
RETURN t.name",[{'t.name': 'christmas'}],matched,
what does [Phil Proctor] appear in,A Safe Place,1,what does [] appear in,"MATCH (a:actor {name: ""Phil Proctor""})<-[:starred_actors]-(m:movie) RETURN m.name",[{'m.name': 'A Safe Place'}],matched,
who was [I Was a Male War Bride] written by,Henri Rochard,1,who was [] written by,MATCH (m:movie)-[:written_by]->(w:writer) WHERE m.name = 'I Was a Male War Bride' RETURN w.name,[{'w.name': 'Henri Rochard'}],matched,
[Keanu Reeves] directed which films,Man of Tai Chi,1,[] directed which films,"MATCH (a:actor {name: ""Keanu Reeves""})<-[:directed_by]-(m:movie) RETURN m.name",[{'m.name': 'Man of Tai Chi'}],matched,
what genre of film is [Raiders of the Lost Ark],Action|Adventure,1,what genre of film is [],"MATCH (m:movie {name: ""Raiders of the Lost Ark""})-[:has_genre]->(g:genre)
RETURN g.name","[{'g.name': 'Adventure'}, {'g.name': 'Action'}]",matched,
which words describe [The Razor's Edge],book,1,which words describe [],"MATCH (m:movie {name: ""The Razor's Edge""})-[:has_tags]->(t:tag) RETURN t.name","[{'t.name': 'tyrone power'}, {'t.name': 'edmund goulding'}, {'t.name': 'book'}]",matched,
what was the release year of the movie [Night Train],1959,1,what was the release year of the movie [],"MATCH (m:movie {name: ""Night Train""})-[:release_year]->(y:year) RETURN y.name;","[{'y.name': '2009'}, {'y.name': '1959'}]",matched,
what was the release date of the film [42nd Street],1933,1,what was the release date of the film [],"MATCH (m:movie {name: ""42nd Street""})-[:release_year]->(y:year) RETURN y.name;",[{'y.name': '1933'}],matched,
which films did [Paul Nicholas] direct,Chained Heat,1,which films did [] direct,MATCH (m:movie)-[:directed_by]->(d:director) WHERE d.name = 'Paul Nicholas' RETURN m.name,[{'m.name': 'Chained Heat'}],matched,
what sort of movie is [Black Sheep],Comedy,1,what sort of movie is [],"MATCH (m:movie {name: ""Black Sheep""})-[:has_genre]->(g:genre) RETURN g.name;","[{'g.name': 'Horror'}, {'g.name': 'Comedy'}]",matched,
what language is the movie [2LDK] in,Japanese,1,what language is the movie [] in,"MATCH (m:movie {name: ""2LDK""})-[:in_language]->(l:language) RETURN l.name",[{'l.name': 'Japanese'}],matched,
which movies did [John Schmidt] direct,The Climb,1,which movies did [] direct,MATCH (m:movie)-[:directed_by]->(d:director {name: 'John Schmidt'}) RETURN m.name,[{'m.name': 'The Climb'}],matched,
who's the writer of [Days of Darkness],Jake Kennedy,1,who's the writer of [],"MATCH (m:movie {name: ""Days of Darkness""})-[:written_by]->(w:writer) RETURN w.name","[{'w.name': 'Jake Kennedy'}, {'w.name': 'Denys Arcand'}]",matched,
how popular of a movie was [The Tunnel of Love],unknown,1,how popular of a movie was [],,,error,"Traceback (most recent call last):
  File ""C:\Users\milishah\projects\AS.Explorations\cypher-generation\evaluation_metaqa_tomaz.py"", line 173, in run_baseline_langchain_flow
    chain_response = chain(question)
                     ^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain_core\_api\deprecation.py"", line 145, in warning_emitting_wrapper
    return wrapped(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain\chains\base.py"", line 378, in __call__
    return self.invoke(
           ^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain\chains\base.py"", line 163, in invoke
    raise e
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain\chains\base.py"", line 153, in invoke
    self._call(inputs, run_manager=run_manager)
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain\chains\graph_qa\cypher.py"", line 246, in _call
    generated_cypher = self.cypher_generation_chain.run(
                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain_core\_api\deprecation.py"", line 145, in warning_emitting_wrapper
    return wrapped(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain\chains\base.py"", line 545, in run
    return self(args[0], callbacks=callbacks, tags=tags, metadata=metadata)[
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain_core\_api\deprecation.py"", line 145, in warning_emitting_wrapper
    return wrapped(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain\chains\base.py"", line 378, in __call__
    return self.invoke(
           ^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain\chains\base.py"", line 163, in invoke
    raise e
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain\chains\base.py"", line 153, in invoke
    self._call(inputs, run_manager=run_manager)
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain\chains\llm.py"", line 103, in _call
    response = self.generate([inputs], run_manager=run_manager)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain\chains\llm.py"", line 115, in generate
    return self.llm.generate_prompt(
           ^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain_core\language_models\chat_models.py"", line 544, in generate_prompt
    return self.generate(prompt_messages, stop=stop, callbacks=callbacks, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain_core\language_models\chat_models.py"", line 408, in generate
    raise e
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain_core\language_models\chat_models.py"", line 398, in generate
    self._generate_with_cache(
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain_core\language_models\chat_models.py"", line 577, in _generate_with_cache
    return self._generate(
           ^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain_community\chat_models\openai.py"", line 444, in _generate
    return self._create_chat_result(response)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain_community\chat_models\azure_openai.py"", line 261, in _create_chat_result
    raise ValueError(
ValueError: Azure has not provided the response due to a content filter being triggered
"
